Prediction,Target,acc,epoch,step,val_loss
0.0,2.119999885559082,0.15000000596046448,0,399,354812768.0
3.0,2.119999885559082,0.25,1,799,238772816.0
4.0,2.119999885559082,0.1599999964237213,2,1199,716535616.0
1.0,2.119999885559082,0.15000000596046448,3,1599,226950096.0
0.0,2.119999885559082,0.15000000596046448,4,1999,604913024.0
3.0,2.119999885559082,0.25,5,2399,181154544.0
4.0,2.119999885559082,0.1599999964237213,6,2799,313555872.0
1.0,2.119999885559082,0.15000000596046448,7,3199,227940496.0
3.0,2.119999885559082,0.25,8,3599,336491936.0
